646	pos	but i 've already emailed creative tech support about it , and gotten timely responses - they will fix it for me if necessary . . .
2910	neg	5 . the zen does not have a stop button ! .
49	pos	the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used .
3427	neg	my old sony ericsson t610 has this feature .
2792	neg	quite simply , the firmware and / or the os that control this thing is not ready for prime time .
311	pos	if you strictly use the lcd and not the view finder , i highly recommend the camera .
848	pos	i thought i 'd have to buy a set of headphones to use with it , but the included earbuds work quite well .
3720	neg	although i disabled norton antispam , it is still there .
2105	pos	it is amazing that the battery lasts so long when the phone is so small and light .
3021	neg	i find the major problem with this item is that if you have a very messy diaper and can 't tightly bundle it without a mess , the mess gets all over the module that dumps the diaper and the stink is outside of the diaper pail .
3538	neg	- no option for caller-id pictures or individualized ringtones .
1442	pos	also , the wma compression format is superior to mp3 , especially at lower bit rates , so i needed a player that could handle wma and integrate well with my windows xp computers .
2315	pos	also included in the `` games `` section is the great music trivia option - which tests your skill at being able to quickly place your own songs .
1157	pos	i would put the hitachi up with the best ! .
191	pos	i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! .
1730	pos	even at the `` normal `` setting , a 8x10 print ! . shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a `` digital `` .
247	pos	3 . the remote capture and file viewer software bundled for photo capture is mind-blowing .
1453	pos	- replaceable battery .
1557	pos	i bought my zen micro three months ago mainly because i preferred the size and style to the ipod mini .
1045	pos	the champ did not start letting a little odor through until well over a year .
2827	neg	2 ) no games - it has a cool screen - why not use it .
1240	pos	it doesn 't bog down under load .
1109	pos	the thought of not having to buy refills and just using regular bags is awesome ! .
2559	neg	only owned it about two weeks so i expect we 're looking at getting another progressive scan dvd player of higher quality very soon .
683	pos	the player 's software is very easy to use and very good .
2032	pos	another great feature for me anyway is the ability to load . wav sounds as ringers .
3682	neg	even though i have the parental controls off it constantly starts updating them then freezes my computer .
684	pos	compared to musicmatch , the software has a better filing system and easier to use .
192	pos	it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing .
1514	pos	fm transmitter ( belkin has a good one ) to use zen with your car stereo fm tuner latest find : connected this baby to my $ 3800 audiophile audio system and it produced clean sound compared to ipod .
620	pos	i have no complaints with this mp3 player .
3636	neg	yeah - this program protects your computer all right - by locking you off the internet .
2798	neg	2 ) scroll button / switch
2709	neg	the price is $ . . . more .
734	pos	it is small overall , bigger than the ipod , but keep in mind that this is because different , less expensive but not necessarily inferior technology is used in the zx .
152	pos	a few of my work constituents owned the g2 and highly recommended the canon for picture quality .
1446	pos	the micro has an impressive array of very nice features and a well designed user interface .
3335	neg	i haven 't seen any problems yet , but if you don 't like to tinker a bit , this player can be a little challenging to set up .
