8477	neg	except as an acting exercise or an exceptionally dark joke , you wonder what anyone saw in this film that allowed it to get made .
4031	pos	japanese director shohei imamura 's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime .
10240	neg	i walked away not really know who `` they `` were , what `` they `` looked like . why `` they `` were here and what `` they `` wanted and quite honestly , i did n't care .
8252	neg	what could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama .
1346	pos	no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .
7385	neg	you can practically smell the patchouli oil .
3632	pos	a mesmerizing cinematic poem from the first frame to the last .
6197	neg	has nothing good to speak about other than the fact that it is relatively short , tries its best to hide the fact that seagal 's overweight and out of shape .
3843	pos	there 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash .
4098	pos	the cat 's meow marks a return to form for director peter bogdanovich . . .
1042	pos	it 's a lovely film with lovely performances by buy and accorsi .
7340	neg	the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .
6265	neg	if jews were catholics , this would be catechism
7514	neg	a compendium of solondz 's own worst instincts in under 90 minutes .
8833	neg	like an afterschool special with costumes by gianni versace , mad love looks better than it feels .
5289	pos	a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro .
5789	neg	just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation .
9366	neg	gets the look and the period trappings right , but it otherwise drowns in a sea of visual and verbal clichés .
10525	neg	the cinematic equivalent of patronizing a bar favored by pretentious , untalented artistes who enjoy moaning about their cruel fate .
9863	neg	[ t ] he ideas of revolution # 9 are more compelling than the execution
4838	pos	you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . though haynes ' style apes films from the period . . . its message is not rooted in that decade .
6025	neg	the plot grows thin soon , and you find yourself praying for a quick resolution .
8685	neg	an inexperienced director , mehta has much to learn .
4848	pos	works because we 're never sure if ohlinger 's on the level or merely a dying , delusional man trying to get into the history books before he croaks .
272	pos	münch 's genuine insight makes the film 's occasional overindulgence forgivable .
7244	neg	late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u . s . viewers off their feet .
3615	pos	a modestly surprising movie .
7816	neg	feels like six different movies fighting each other for attention .
2553	pos	an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one .
9703	neg	ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it .
8453	neg	loosely speaking , we 're in all of me territory again , and , strictly speaking , schneider is no steve martin .
1646	pos	robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .
6075	neg	like the excruciating end of days , collateral damage presents schwarzenegger as a tragic figure , but sympathy really belongs with any viewer forced to watch him try out so many complicated facial expressions .
3778	pos	a completely spooky piece of business that gets under your skin and , some plot blips aside , stays there for the duration .
509	pos	for all its serious sense of purpose . . . [ it ] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .
5114	pos	it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .
8425	neg	eastwood winces , clutches his chest and gasps for breath . it 's a spectacular performance - ahem , we hope it 's only acting .
